Price,Close,High,Low,Open,Volume
Ticker,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS,AUBANK.NS
Date,,,,,
2020-01-01,396.87,402.91,394.03,400.00,179442
2020-01-02,395.97,398.53,394.55,394.78,127214
2020-01-03,396.99,399.25,394.03,396.42,181796
2020-01-06,393.78,398.08,391.17,394.53,226956
2020-01-07,398.36,402.01,392.04,394.03,5693404
2020-01-08,415.87,420.87,393.28,395.02,4936804
2020-01-09,416.09,423.38,411.12,419.78,2030328
2020-01-10,410.27,418.66,408.46,414.88,605170
2020-01-13,417.16,419.40,410.55,412.93,465756
2020-01-14,421.69,422.89,416.42,418.41,661510
2020-01-15,426.59,430.32,419.92,422.91,1044188
2020-01-16,436.54,440.15,427.56,427.56,1185078
2020-01-17,436.69,442.04,430.62,439.30,707678
2020-01-20,440.75,443.78,435.32,439.80,896644
2020-01-21,441.96,443.78,435.57,439.80,511040
2020-01-22,441.32,447.46,438.93,443.86,511670
2020-01-23,484.85,501.49,453.23,453.23,9957038
2020-01-24,532.69,546.22,483.58,487.56,8376792
2020-01-27,508.48,549.75,497.01,537.31,5438232
2020-01-28,519.30,522.39,500.00,502.39,1658978
2020-01-29,520.72,531.84,513.93,527.36,568136
2020-01-30,521.22,535.75,509.45,521.37,1204270
2020-01-31,529.53,534.28,517.41,524.88,843678
2020-02-03,519.38,527.36,493.03,516.42,821850
2020-02-04,523.28,528.06,519.40,523.28,521236
2020-02-05,545.10,568.53,522.81,527.36,2543364
2020-02-06,544.05,554.38,537.31,549.75,979448
2020-02-07,561.24,570.94,537.59,540.75,1316716
2020-02-10,560.07,566.17,547.76,562.19,853378
2020-02-11,578.56,586.07,555.72,563.68,1712572
2020-02-12,572.91,584.58,563.18,577.11,854024
2020-02-13,571.27,576.12,547.76,564.70,1096040
2020-02-14,570.17,579.68,563.86,577.11,511546
2020-02-17,567.29,585.27,561.69,576.96,960400
2020-02-18,571.72,576.62,562.19,567.11,1025902
2020-02-19,579.95,599.00,572.93,575.67,2536736
2020-02-20,584.38,594.13,577.11,579.85,1194856
2020-02-24,576.72,592.04,570.30,582.56,1235304
2020-02-25,576.17,583.08,573.63,579.58,1687906
2020-02-26,586.54,597.51,507.01,574.63,1917984
2020-02-27,586.89,594.08,581.57,587.06,1069068
2020-02-28,578.56,587.06,567.16,579.58,2358344
2020-03-02,575.00,605.97,567.19,579.38,2066294
2020-03-03,584.18,592.04,572.14,578.08,1010672
2020-03-04,573.63,591.04,562.19,588.06,2841584
2020-03-05,584.43,589.45,568.78,575.62,2214102
2020-03-06,564.05,568.86,499.00,565.17,3589402
2020-03-09,528.88,553.73,518.98,549.25,2148236
2020-03-11,512.16,535.87,509.95,528.86,1428214
2020-03-12,469.33,485.07,457.71,475.40,2033132
2020-03-13,479.18,506.87,418.41,450.25,3167446
2020-03-16,457.74,491.54,438.36,467.16,3099600
2020-03-17,419.43,456.59,398.91,450.75,2731028
2020-03-18,340.27,425.37,335.55,425.37,6204416
2020-03-19,309.38,330.57,275.95,306.47,5093240
2020-03-20,322.49,340.30,297.29,322.89,2121296
2020-03-23,290.25,290.25,290.25,290.25,201476
2020-03-24,261.24,270.65,261.24,261.24,1269854
2020-03-25,235.37,260.20,235.12,235.12,3774296
2020-03-26,247.14,247.14,236.82,236.82,608022
2020-03-27,259.48,259.48,259.48,259.48,1203948
2020-03-30,246.62,272.44,246.52,256.22,2390422
2020-03-31,251.42,258.93,234.30,256.22,1492644
2020-04-01,239.48,263.68,238.86,263.68,1823590
2020-04-03,231.57,240.25,227.86,239.80,1444800
2020-04-07,238.01,243.13,220.70,243.13,2402578
2020-04-08,238.95,243.78,227.36,229.45,3582114
2020-04-09,246.96,250.45,236.34,239.80,1480800
2020-04-13,248.63,254.70,236.82,248.26,3104506
2020-04-15,249.88,253.23,244.28,247.76,1296320
2020-04-16,255.77,260.70,246.32,248.76,953020
2020-04-17,268.56,268.56,261.17,261.19,1461748
2020-04-20,281.49,281.96,273.13,278.11,1358246
2020-04-21,278.58,281.59,267.44,276.12,1253050
2020-04-22,264.68,281.09,264.68,276.47,665492
2020-04-23,251.87,265.17,251.44,254.23,875264
2020-04-24,257.74,262.04,241.79,247.16,1010536
2020-04-27,256.82,263.13,247.26,260.50,860904
2020-04-28,255.05,261.19,251.09,258.86,1019082
2020-04-29,267.76,267.79,254.28,257.46,1018506
2020-04-30,270.77,281.14,262.81,275.57,3807484
2020-05-04,257.24,257.24,257.24,257.24,218142
2020-05-05,244.38,252.59,244.38,244.38,2073832
2020-05-06,232.16,239.13,232.16,234.65,2187060
2020-05-07,220.57,223.73,220.57,220.57,667800
2020-05-08,209.55,215.77,209.55,209.55,3648038
2020-05-11,199.08,208.46,199.08,204.28,2826698
2020-05-12,189.13,195.52,189.13,194.03,2238796
2020-05-13,198.58,198.58,198.58,198.58,976588
2020-05-14,208.51,208.51,202.51,208.51,1726814
2020-05-15,207.71,218.93,206.84,212.94,2933266
2020-05-18,197.49,212.69,197.34,211.69,2250860
2020-05-19,191.96,205.97,190.60,205.47,1168016
2020-05-20,199.85,201.54,189.58,191.54,845150
2020-05-21,209.40,209.83,200.82,204.48,1450542
2020-05-22,198.96,208.96,198.96,206.47,1601984
2020-05-26,190.55,196.42,189.05,189.05,801504
2020-05-27,195.87,198.51,182.09,190.55,1380488
2020-05-28,198.06,201.04,192.14,195.47,720474
2020-05-29,194.83,198.51,192.09,193.53,1252630
2020-06-01,204.00,204.55,199.00,199.00,4072522
2020-06-02,214.13,214.20,201.49,203.68,1311592
2020-06-03,224.83,224.83,217.49,217.91,682866
2020-06-04,235.67,236.04,221.39,236.04,5321142
2020-06-05,239.63,242.04,224.88,235.22,2698564
2020-06-08,250.30,251.59,243.78,243.78,3479568
2020-06-09,241.39,261.54,238.81,256.72,1763228
2020-06-10,242.16,248.76,239.83,241.29,2058120
2020-06-11,230.57,247.59,230.07,242.16,991442
2020-06-12,235.97,241.14,219.05,219.05,1493674
2020-06-15,226.92,240.80,224.18,240.30,962740
2020-06-16,238.11,238.26,228.36,235.32,1892330
2020-06-17,233.08,240.75,229.80,237.31,854930
2020-06-18,235.75,239.80,231.37,233.78,1381688
2020-06-19,241.87,247.01,235.12,235.75,2513366
2020-06-22,253.95,253.95,243.81,245.97,2214052
2020-06-23,266.64,266.64,258.71,260.70,1214928
2020-06-24,279.95,279.95,268.81,279.95,3039624
2020-06-25,293.93,293.93,266.49,276.39,3027384
2020-06-26,284.70,307.69,281.39,299.05,1430206
2020-06-29,270.47,282.54,270.47,281.09,278938
2020-06-30,270.40,276.12,261.19,261.19,1231150
