Price,Close,High,Low,Open,Volume
Ticker,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS
Date,,,,,
2020-01-01,104.66,106.17,104.28,105.46,415088
2020-01-02,119.15,122.21,104.87,105.08,14653054
2020-01-03,117.12,121.46,114.33,119.15,4249686
2020-01-06,113.34,116.98,111.36,116.98,2467418
2020-01-07,113.58,116.41,112.09,115.56,1212188
2020-01-08,113.86,116.06,110.89,110.89,1802634
2020-01-09,118.42,120.66,115.14,115.61,3474462
2020-01-10,124.95,127.73,117.07,118.91,10302032
2020-01-13,125.12,127.85,123.68,125.52,2298966
2020-01-14,127.81,131.65,123.87,125.23,4861706
2020-01-15,131.20,132.78,125.99,126.93,4601172
2020-01-16,129.50,132.55,128.73,131.98,1676476
2020-01-17,128.84,130.99,127.55,129.53,1282408
2020-01-20,129.01,133.07,128.11,129.06,1524986
2020-01-21,132.83,133.82,126.04,128.30,2768254
2020-01-22,132.74,134.72,130.28,133.82,2334974
2020-01-23,131.39,134.25,130.05,132.69,1300492
2020-01-24,126.53,130.33,125.09,127.40,2160330
2020-01-27,126.63,130.24,122.66,125.28,1783824
2020-01-28,128.21,129.65,125.99,126.98,2422412
2020-01-29,127.66,129.67,126.93,128.82,673324
2020-01-30,126.37,128.56,125.71,128.35,669920
2020-01-31,125.21,127.88,124.24,127.12,539922
2020-02-03,120.07,123.02,118.93,120.94,641216
2020-02-04,123.87,125.07,120.85,120.85,844044
2020-02-05,130.83,132.12,124.34,124.34,1699772
2020-02-06,134.01,138.73,130.24,130.61,6374216
2020-02-07,136.58,140.47,132.29,134.79,6398004
2020-02-10,134.13,137.79,132.59,136.70,1419072
2020-02-11,137.95,139.20,133.77,134.91,1885370
2020-02-12,138.09,141.54,136.13,138.45,4344016
2020-02-13,134.43,138.45,133.59,138.09,1309012
2020-02-14,130.94,135.78,130.05,134.95,1022306
2020-02-17,129.95,131.86,128.35,130.71,814536
2020-02-18,129.60,130.47,125.52,128.96,1218750
2020-02-19,133.66,135.43,130.38,130.40,1559218
2020-02-20,135.87,139.20,134.01,134.01,3287202
2020-02-24,136.51,142.41,135.19,136.18,5678530
2020-02-25,134.60,138.73,133.07,137.76,1591382
2020-02-26,133.99,136.84,132.29,133.30,1704714
2020-02-27,134.81,136.32,131.65,133.87,1258608
2020-02-28,125.04,131.20,124.34,131.18,1785568
2020-03-02,119.36,129.29,117.49,126.89,2052738
2020-03-03,119.38,124.10,117.49,121.27,1477562
2020-03-04,119.59,121.72,115.75,120.16,1550620
2020-03-05,120.94,123.46,117.97,120.33,1042394
2020-03-06,117.97,119.74,113.53,114.17,779740
2020-03-09,112.80,115.98,110.89,115.35,1344894
2020-03-11,112.75,115.61,110.89,113.44,885548
2020-03-12,105.13,108.36,101.45,108.06,2196276
2020-03-13,106.03,109.90,89.65,97.23,1426518
2020-03-16,101.95,105.13,101.31,102.51,767870
2020-03-17,100.27,106.88,98.62,101.07,1043472
2020-03-18,97.87,102.11,95.13,100.91,1052052
2020-03-19,97.77,106.41,92.13,94.47,2508862
2020-03-20,99.52,102.21,97.79,99.09,923168
2020-03-23,87.63,93.59,84.84,92.01,793976
2020-03-24,89.94,93.45,85.88,90.60,578906
2020-03-25,90.69,93.74,87.30,87.30,600822
2020-03-26,97.13,100.89,88.00,92.01,3093968
2020-03-27,97.77,103.81,95.29,99.73,1318442
2020-03-30,97.98,99.04,94.85,95.53,481050
2020-03-31,101.17,103.67,98.24,100.98,933386
2020-04-01,102.25,105.20,99.16,100.96,1652148
2020-04-03,99.04,102.25,98.08,102.16,387100
2020-04-07,101.03,103.72,100.32,102.40,814856
2020-04-08,102.44,109.45,101.07,103.20,2778568
2020-04-09,104.21,106.17,102.87,104.80,720246
2020-04-13,104.14,106.64,101.05,105.04,660156
2020-04-15,102.77,107.16,102.02,104.78,869758
2020-04-16,106.88,108.20,102.44,103.20,851750
2020-04-17,108.93,111.27,106.41,110.42,916550
2020-04-20,107.73,110.75,107.30,109.99,679586
2020-04-21,101.88,105.72,101.45,105.72,567510
2020-04-22,103.36,104.14,101.22,101.45,402252
2020-04-23,103.34,106.43,102.89,103.86,431826
2020-04-24,102.73,103.95,101.50,102.77,420788
2020-04-27,104.85,106.45,102.94,103.81,588424
2020-04-28,104.57,105.70,103.17,105.67,499882
2020-04-29,109.19,110.84,104.75,104.92,3008470
2020-04-30,106.31,112.30,105.93,110.25,1501056
2020-05-04,102.14,104.33,101.83,103.29,687458
2020-05-05,100.98,104.07,100.65,103.32,449928
2020-05-06,102.70,103.34,99.66,101.73,442762
2020-05-07,101.92,103.53,101.55,102.87,274744
2020-05-08,102.70,107.16,102.25,102.89,1467726
2020-05-11,102.35,104.47,101.92,103.32,284216
2020-05-12,102.44,102.96,101.03,101.92,246482
2020-05-13,107.40,109.00,102.63,105.23,2590334
2020-05-14,104.92,107.54,104.54,105.39,555704
2020-05-15,105.27,107.40,104.80,105.44,673502
2020-05-18,103.06,106.71,102.44,104.78,745366
2020-05-19,106.12,106.88,102.49,102.49,1632688
2020-05-20,114.45,115.37,106.36,106.36,5734442
2020-05-21,113.04,117.16,112.30,113.91,1673704
2020-05-22,111.05,114.05,109.95,112.38,718204
2020-05-26,113.37,115.77,111.38,111.55,981300
2020-05-27,116.39,117.97,113.32,113.96,2316054
2020-05-28,115.25,117.24,114.90,116.88,460352
2020-05-29,116.60,119.24,114.31,114.66,789306
2020-06-01,118.20,121.51,117.33,118.20,1171748
2020-06-02,120.85,121.27,117.24,118.34,792624
2020-06-03,124.71,130.24,121.27,121.74,2462416
2020-06-04,124.74,126.89,123.28,126.46,582378
2020-06-05,123.63,126.46,123.16,125.49,455882
2020-06-08,124.90,126.58,122.71,124.55,1101980
2020-06-09,123.70,126.44,122.69,125.71,559114
2020-06-10,122.54,124.27,118.91,123.89,477034
2020-06-11,120.82,123.63,120.33,120.85,381054
2020-06-12,122.05,122.54,116.81,116.81,440936
2020-06-15,122.78,123.79,120.89,122.50,424832
2020-06-16,129.76,131.18,121.55,123.75,3547720
2020-06-17,126.55,132.59,125.59,129.29,1298996
2020-06-18,125.99,128.82,125.28,126.25,539252
2020-06-19,125.82,129.53,124.67,126.65,693152
2020-06-22,126.08,128.09,125.52,126.77,490896
2020-06-23,134.72,136.37,128.42,129.39,3736990
2020-06-24,129.50,137.10,127.99,136.58,1820654
2020-06-25,132.31,135.05,127.45,127.47,1706026
2020-06-26,129.60,134.25,129.29,133.56,635786
2020-06-29,129.72,131.41,127.88,129.27,539388
2020-06-30,127.73,131.39,126.53,130.09,349332
2020-07-01,130.35,132.57,127.57,128.06,997064
2020-07-02,129.69,131.89,129.10,131.06,673896
2020-07-03,133.85,135.31,129.48,130.38,1693226
2020-07-06,134.72,136.25,132.71,134.48,1298422
2020-07-07,141.04,143.85,133.75,134.93,4406504
2020-07-08,140.52,146.75,132.12,142.74,4211824
2020-07-09,140.57,143.92,139.20,140.99,1234824
2020-07-10,137.36,141.30,136.16,140.05,711564
2020-07-13,135.57,140.81,134.72,137.97,860758
2020-07-14,140.33,141.98,133.54,135.90,2041924
2020-07-15,138.68,143.16,137.81,142.03,1539602
2020-07-16,136.49,139.96,135.17,138.35,767276
2020-07-17,140.97,142.98,136.49,136.61,1360656
2020-07-20,148.52,150.20,141.56,142.15,5938214
2020-07-21,149.98,153.29,148.21,150.90,3223268
2020-07-22,147.25,150.48,144.41,150.22,1258900
2020-07-23,154.02,154.77,148.17,148.64,4117988
2020-07-24,152.46,154.77,148.64,151.94,2017856
2020-07-27,165.41,170.72,154.37,157.04,12632504
2020-07-28,169.73,173.65,161.94,166.50,6046260
2020-07-29,165.74,170.67,163.57,168.83,3407978
2020-07-30,164.14,166.73,161.40,165.86,1301990
2020-07-31,164.73,168.93,160.91,162.56,2408876
2020-08-03,159.73,167.06,159.02,165.11,1193180
2020-08-04,165.34,166.07,160.10,160.29,1437934
2020-08-05,167.16,172.42,165.41,165.41,4217244
2020-08-06,165.77,169.75,165.15,166.57,1106010
2020-08-07,168.72,170.77,163.86,166.19,2000420
2020-08-10,171.15,175.30,167.75,170.82,3956264
2020-08-11,167.98,175.77,166.71,172.42,3583648
2020-08-12,169.59,172.23,165.72,166.99,1434532
2020-08-13,170.79,172.70,169.85,169.99,1589832
2020-08-14,172.07,174.02,168.95,171.48,2058062
2020-08-17,173.77,175.98,170.32,172.35,2571960
2020-08-18,171.95,175.53,171.31,174.92,1024080
2020-08-19,178.15,180.25,172.23,172.94,3836332
2020-08-20,175.44,180.06,174.76,176.71,1389754
2020-08-21,178.41,180.02,175.77,176.48,1866212
2020-08-24,179.45,182.02,171.59,179.07,3655338
2020-08-25,180.06,182.14,177.21,179.76,2037478
2020-08-26,188.65,191.58,178.84,180.06,6015934
2020-08-27,197.83,204.98,190.63,192.99,9306742
2020-08-28,200.83,205.73,195.35,199.32,3801506
2020-08-31,191.88,202.57,186.91,201.49,3552348
